namespace,concept,unit,period_kind,partition,raw_rows,invalid_rows,unique_keys,unique_admissible,duplicates,conflicting_rows,ambiguous_keys,publications,first_filed,last_filed,first_start,last_start,first_end,last_end,duration_min_days,duration_max_days,assets_with_raw_rows,assets_with_admissible_facts
us-gaap,AccountsPayableCurrent,CAD,stock_without_start,development_filed_through_2022,440,0,22,22,418,0,0,11,2020-06-01,2022-11-09,,,2019-03-31,2022-09-30,,,1,1
us-gaap,AccountsPayableCurrent,CAD,stock_without_start,validation_filed_2023,160,0,8,8,152,0,0,4,2023-02-09,2023-11-09,,,2022-03-31,2023-09-30,,,1,1
us-gaap,AccountsPayableCurrent,CNY,stock_without_start,validation_filed_2023,60,0,2,2,58,0,0,1,2023-10-30,2023-10-30,,,2022-06-30,2023-06-30,,,1,1
us-gaap,AccountsPayableCurrent,USD,stock_without_start,development_filed_through_2022,5680223,234,112671,112671,5567318,0,0,55225,2009-07-22,2022-12-29,,,2007-12-31,2022-11-30,,,1487,1487
us-gaap,AccountsPayableCurrent,USD,stock_without_start,validation_filed_2023,533926,0,11292,11292,522634,0,0,5541,2023-01-04,2023-12-29,,,2019-03-31,2023-11-30,,,1424,1424
us-gaap,AccountsReceivableNetCurrent,CAD,stock_without_start,development_filed_through_2022,3316,0,98,98,3218,0,0,49,2011-04-04,2022-11-09,,,2009-12-31,2022-09-30,,,3,3
us-gaap,AccountsReceivableNetCurrent,CAD,stock_without_start,validation_filed_2023,456,0,16,16,440,0,0,8,2023-02-09,2023-11-09,,,2021-12-31,2023-09-30,,,2,2
us-gaap,AccountsReceivableNetCurrent,CNY,stock_without_start,development_filed_through_2022,960,0,32,32,928,0,0,16,2012-10-24,2022-10-28,,,2011-06-30,2022-06-30,,,1,1
us-gaap,AccountsReceivableNetCurrent,CNY,stock_without_start,validation_filed_2023,120,0,4,4,116,0,0,2,2023-03-24,2023-10-30,,,2022-06-30,2023-06-30,,,1,1
us-gaap,AccountsReceivableNetCurrent,USD,stock_without_start,development_filed_through_2022,5102205,223,98841,98841,5003141,0,0,48634,2009-04-15,2022-12-29,,,2007-12-31,2022-12-01,,,1370,1370
us-gaap,AccountsReceivableNetCurrent,USD,stock_without_start,validation_filed_2023,478477,0,9882,9882,468595,0,0,4851,2023-01-05,2023-12-29,,,2019-12-31,2023-11-30,,,1269,1269
us-gaap,Assets,CAD,stock_without_start,development_filed_through_2022,5352,0,166,166,5186,0,0,83,2011-04-04,2022-11-09,,,2009-12-31,2022-09-30,,,5,5
us-gaap,Assets,CAD,stock_without_start,validation_filed_2023,748,0,27,27,721,0,0,12,2023-02-09,2023-11-09,,,2021-12-31,2023-09-30,,,3,3
us-gaap,Assets,CNY,stock_without_start,development_filed_through_2022,1860,0,62,62,1798,0,0,31,2012-01-31,2022-10-28,,,2011-06-30,2022-06-30,,,1,1
us-gaap,Assets,CNY,stock_without_start,validation_filed_2023,120,0,4,4,116,0,0,2,2023-03-24,2023-10-30,,,2022-06-30,2023-06-30,,,1,1
us-gaap,Assets,ILS,stock_without_start,development_filed_through_2022,336,0,6,6,330,0,0,3,2011-09-14,2012-05-17,,,2010-12-31,2012-03-31,,,1,1
us-gaap,Assets,USD,stock_without_start,development_filed_through_2022,9791901,407,192959,192959,9598535,0,0,90236,2009-04-15,2022-12-29,,,2006-12-31,2022-12-01,,,2222,2222
us-gaap,Assets,USD,stock_without_start,validation_filed_2023,915980,58,18989,18989,896933,0,0,8975,2023-01-04,2023-12-29,,,2019-03-31,2023-11-30,,,2226,2226
us-gaap,AssetsCurrent,CAD,stock_without_start,development_filed_through_2022,5392,0,168,168,5224,0,0,83,2011-04-04,2022-11-09,,,2009-12-31,2022-09-30,,,5,5
us-gaap,AssetsCurrent,CAD,stock_without_start,validation_filed_2023,748,0,27,27,721,0,0,12,2023-02-09,2023-11-09,,,2021-12-31,2023-09-30,,,3,3
us-gaap,AssetsCurrent,CNY,stock_without_start,development_filed_through_2022,1860,0,62,62,1798,0,0,31,2012-01-31,2022-10-28,,,2011-06-30,2022-06-30,,,1,1
us-gaap,AssetsCurrent,CNY,stock_without_start,validation_filed_2023,120,0,4,4,116,0,0,2,2023-03-24,2023-10-30,,,2022-06-30,2023-06-30,,,1,1
us-gaap,AssetsCurrent,ILS,stock_without_start,development_filed_through_2022,336,0,6,6,330,0,0,3,2011-09-14,2012-05-17,,,2010-12-31,2012-03-31,,,1,1
us-gaap,AssetsCurrent,USD,stock_without_start,development_filed_through_2022,7025648,335,137918,137918,6887395,0,0,67519,2009-04-15,2022-12-29,,,2007-12-31,2022-12-01,,,1675,1675
us-gaap,AssetsCurrent,USD,stock_without_start,validation_filed_2023,649218,0,13598,13598,635620,0,0,6672,2023-01-04,2023-12-29,,,2019-03-31,2023-11-30,,,1655,1655
us-gaap,AssetsNoncurrent,CAD,stock_without_start,development_filed_through_2022,200,0,5,5,195,0,0,3,2012-03-05,2021-06-01,,,2010-12-31,2019-12-31,,,2,2
us-gaap,AssetsNoncurrent,ILS,stock_without_start,development_filed_through_2022,224,0,4,4,220,0,0,2,2012-03-30,2012-05-17,,,2010-12-31,2012-03-31,,,1,1
us-gaap,AssetsNoncurrent,USD,stock_without_start,development_filed_through_2022,528203,0,10055,10055,518148,0,0,4933,2009-07-31,2022-12-16,,,2008-08-02,2022-11-30,,,252,252
us-gaap,AssetsNoncurrent,USD,stock_without_start,validation_filed_2023,39440,0,828,828,38612,0,0,409,2023-01-05,2023-12-19,,,2020-12-31,2023-11-30,,,111,111
us-gaap,CashAndCashEquivalentsPeriodIncreaseDecrease,CAD,flow_with_start,development_filed_through_2022,2937,0,85,85,2852,0,0,26,2011-04-04,2018-02-16,2004-03-22,2017-04-01,2008-12-31,2017-12-31,90,3207,4,4
us-gaap,CashAndCashEquivalentsPeriodIncreaseDecrease,CNY,flow_with_start,development_filed_through_2022,1530,0,51,51,1479,0,0,24,2012-01-31,2018-09-28,2010-07-01,2017-07-01,2010-09-30,2018-06-30,92,366,1,1
us-gaap,CashAndCashEquivalentsPeriodIncreaseDecrease,EUR,flow_with_start,development_filed_through_2022,146,0,2,2,144,0,0,1,2012-12-20,2012-12-20,2010-10-01,2011-10-01,2011-09-30,2012-09-30,365,366,1,1
us-gaap,CashAndCashEquivalentsPeriodIncreaseDecrease,ILS,flow_with_start,development_filed_through_2022,560,0,10,10,550,0,0,3,2011-09-14,2012-05-17,2007-01-31,2012-01-01,2010-06-30,2012-03-31,90,1886,1,1
us-gaap,CashAndCashEquivalentsPeriodIncreaseDecrease,USD,flow_with_start,development_filed_through_2022,6140860,47,117302,117302,6023511,0,0,52115,2009-04-15,2022-11-14,1967-05-26,2022-04-01,2006-12-31,2022-09-30,3,16961,1987,1987
us-gaap,CashAndCashEquivalentsPeriodIncreaseDecrease,USD,flow_with_start,validation_filed_2023,670,0,12,12,658,0,0,5,2023-02-09,2023-05-31,2020-01-01,2023-01-01,2020-12-31,2023-03-31,90,366,3,3
us-gaap,CashAndCashEquivalentsPeriodIncreaseDecrease,USD,stock_without_start,development_filed_through_2022,182,0,3,3,179,0,0,2,2011-03-01,2018-09-05,,,2008-12-31,2018-01-31,,,2,2
us-gaap,CommonStockValue,CAD,stock_without_start,development_filed_through_2022,10704,0,166,166,10538,0,0,83,2011-04-04,2022-11-09,,,2009-12-31,2022-09-30,,,5,5
us-gaap,CommonStockValue,CAD,stock_without_start,validation_filed_2023,1376,0,24,24,1352,0,0,12,2023-02-09,2023-11-09,,,2021-12-31,2023-09-30,,,3,3
us-gaap,CommonStockValue,CHF,stock_without_start,development_filed_through_2022,1072,0,8,8,1064,0,0,8,2015-06-05,2022-05-18,,,2015-03-31,2022-03-31,,,1,1
us-gaap,CommonStockValue,CHF,stock_without_start,validation_filed_2023,134,0,1,1,133,0,0,1,2023-05-17,2023-05-17,,,2023-03-31,2023-03-31,,,1,1
us-gaap,CommonStockValue,CNY,stock_without_start,development_filed_through_2022,3360,0,56,56,3304,0,0,28,2012-01-31,2021-04-05,,,2011-06-30,2020-12-31,,,1,1
