partition,unit,ratio_id,groups_total,compatible_groups,missing_components,ambiguous_components,nonpositive_denominator,nonfinite_ratio,publications,assets_with_groups,assets_with_compatible_groups
development_filed_through_2022,CAD,current_ratio,279,167,112,0,0,0,83,5,5
development_filed_through_2022,CAD,equity_to_assets,279,166,113,0,0,0,83,5,5
development_filed_through_2022,CAD,liabilities_to_assets,279,164,115,0,0,0,82,5,5
development_filed_through_2022,CAD,liabilities_to_positive_equity,279,164,115,0,0,0,82,5,5
development_filed_through_2022,CAD,payables_to_assets,279,22,257,0,0,0,11,5,1
development_filed_through_2022,CAD,receivables_to_assets,279,98,181,0,0,0,49,5,3
development_filed_through_2022,CAD,working_capital_to_assets,279,166,113,0,0,0,83,5,5
development_filed_through_2022,CHF,current_ratio,8,0,8,0,0,0,0,1,0
development_filed_through_2022,CHF,equity_to_assets,8,0,8,0,0,0,0,1,0
development_filed_through_2022,CHF,liabilities_to_assets,8,0,8,0,0,0,0,1,0
development_filed_through_2022,CHF,liabilities_to_positive_equity,8,0,8,0,0,0,0,1,0
development_filed_through_2022,CHF,payables_to_assets,8,0,8,0,0,0,0,1,0
development_filed_through_2022,CHF,receivables_to_assets,8,0,8,0,0,0,0,1,0
development_filed_through_2022,CHF,working_capital_to_assets,8,0,8,0,0,0,0,1,0
development_filed_through_2022,CNY,current_ratio,64,62,2,0,0,0,31,2,1
development_filed_through_2022,CNY,equity_to_assets,64,62,2,0,0,0,31,2,1
development_filed_through_2022,CNY,liabilities_to_assets,64,24,40,0,0,0,12,2,1
development_filed_through_2022,CNY,liabilities_to_positive_equity,64,24,40,0,0,0,12,2,1
development_filed_through_2022,CNY,payables_to_assets,64,0,64,0,0,0,0,2,0
development_filed_through_2022,CNY,receivables_to_assets,64,32,32,0,0,0,16,2,1
development_filed_through_2022,CNY,working_capital_to_assets,64,62,2,0,0,0,31,2,1
development_filed_through_2022,EUR,current_ratio,3,0,3,0,0,0,0,2,0
development_filed_through_2022,EUR,equity_to_assets,3,0,3,0,0,0,0,2,0
development_filed_through_2022,EUR,liabilities_to_assets,3,0,3,0,0,0,0,2,0
development_filed_through_2022,EUR,liabilities_to_positive_equity,3,0,3,0,0,0,0,2,0
development_filed_through_2022,EUR,payables_to_assets,3,0,3,0,0,0,0,2,0
development_filed_through_2022,EUR,receivables_to_assets,3,0,3,0,0,0,0,2,0
development_filed_through_2022,EUR,working_capital_to_assets,3,0,3,0,0,0,0,2,0
development_filed_through_2022,GBP,current_ratio,5,0,5,0,0,0,0,1,0
development_filed_through_2022,GBP,equity_to_assets,5,0,5,0,0,0,0,1,0
development_filed_through_2022,GBP,liabilities_to_assets,5,0,5,0,0,0,0,1,0
development_filed_through_2022,GBP,liabilities_to_positive_equity,5,0,5,0,0,0,0,1,0
development_filed_through_2022,GBP,payables_to_assets,5,0,5,0,0,0,0,1,0
development_filed_through_2022,GBP,receivables_to_assets,5,0,5,0,0,0,0,1,0
development_filed_through_2022,GBP,working_capital_to_assets,5,0,5,0,0,0,0,1,0
development_filed_through_2022,ILS,current_ratio,14,6,8,0,0,0,3,1,1
development_filed_through_2022,ILS,equity_to_assets,14,6,8,0,0,0,3,1,1
development_filed_through_2022,ILS,liabilities_to_assets,14,0,14,0,0,0,0,1,0
development_filed_through_2022,ILS,liabilities_to_positive_equity,14,0,14,0,0,0,0,1,0
development_filed_through_2022,ILS,payables_to_assets,14,0,14,0,0,0,0,1,0
development_filed_through_2022,ILS,receivables_to_assets,14,0,14,0,0,0,0,1,0
development_filed_through_2022,ILS,working_capital_to_assets,14,6,8,0,0,0,3,1,1
development_filed_through_2022,TND,current_ratio,1,0,1,0,0,0,0,1,0
development_filed_through_2022,TND,equity_to_assets,1,0,1,0,0,0,0,1,0
development_filed_through_2022,TND,liabilities_to_assets,1,0,1,0,0,0,0,1,0
development_filed_through_2022,TND,liabilities_to_positive_equity,1,0,1,0,0,0,0,1,0
development_filed_through_2022,TND,payables_to_assets,1,0,1,0,0,0,0,1,0
