run_id,kind,stage,seed,loss,learning_rate,epoch,train_mae_during_updates,validation_mae_after_epoch,train_mse_during_updates,validation_mse_after_epoch
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,1,0.43643842339515687,0.20346043467521668,0.22141877114772796,0.08132142603397369
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,2,0.21811961084604264,0.1460852313041687,0.0772688081022352,0.03563094347715378
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,3,0.14128218665719033,0.1881658887863159,0.02981813477817923,0.04117460064589977
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,4,0.15404579043388367,0.21375655591487885,0.027005904540419578,0.053036263957619664
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,5,0.15661224871873855,0.2069673052430153,0.03097498957067728,0.05130785584449768
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,6,0.14575343132019042,0.1803872862458229,0.02777057243511081,0.039028335958719254
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,7,0.12565106749534607,0.14616237103939056,0.02000551987439394,0.025463058706372978
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,8,0.1019515223801136,0.1135469126701355,0.012963461130857468,0.015867056045681237
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,9,0.0805503074079752,0.08821588188409805,0.008543114096391946,0.010549946166574955
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,10,0.06618846654891967,0.07441982254385948,0.005928833654616028,0.007808391842991114
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,11,0.05441594459116459,0.06703801184892655,0.004005533410236239,0.006318096015602351
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,12,0.042675365880131724,0.06296371281147004,0.0025091281509958207,0.0055627471115440134
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,13,0.03325930461287498,0.06043431550264358,0.0016043490497395397,0.005211814953945577
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,14,0.027732443064451218,0.05771357163786888,0.0012153954245150088,0.004853086716029793
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,15,0.02527870610356331,0.05379430912435055,0.0010339411848690361,0.0042608522390946745
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,16,0.023232046887278555,0.04887930527329445,0.0008700985577888787,0.00354329664260149
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,17,0.021643177419900895,0.04447364784777164,0.0007344615063630044,0.0029334514844231306
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,18,0.020838861539959907,0.041583603098988536,0.00066584866726771,0.0025548234139569103
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,19,0.02061109319329262,0.0403326141834259,0.0006395933742169291,0.00239630168187432
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,20,0.020308075472712517,0.04030161775648594,0.0006201210431754589,0.0023859729594551027
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,21,0.01986655965447426,0.040909566730260846,0.0006005738512612879,0.002435165252536535
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,22,0.019442403689026833,0.041336280331015586,0.0005834159208461642,0.0024697475507855417
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,23,0.019102118164300918,0.041337609365582464,0.0005666174518410116,0.002461749789072201
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,24,0.01881510466337204,0.04109072782099247,0.0005495878343936056,0.002428816385800019
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,25,0.01855391524732113,0.040883554071187975,0.0005341203359421343,0.0024016239831689745
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,26,0.018289175629615784,0.040874513387680056,0.00052040551090613,0.002395950424252078
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,27,0.018011219799518585,0.04102851428091526,0.000507584901060909,0.002407472903141752
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,28,0.01776010077446699,0.041197465583682064,0.0004956213000696152,0.0024204817065037786
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,29,0.017532122693955897,0.041259586662054065,0.0004846672003623098,0.0024219051375985144
rnn-mse-0.0001-s42,rnn,base,42,mse,0.0001,30,0.017314167134463786,0.041184362545609476,0.00047447336255572735,0.0024083861359395086
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,1,0.13705672323703766,0.060767378211021426,0.021792440116405486,0.004369776453822851
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,2,0.04944018833339214,0.08561976507306099,0.00351085786242038,0.009558084439486265
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,3,0.08299249932169914,0.08442579954862595,0.009350505517795682,0.00900431115180254
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,4,0.0708723209798336,0.04555096656084061,0.007005559012759477,0.003389090672135353
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,5,0.051001489907503125,0.03871184572577477,0.003723175183404237,0.0017867655307054519
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,6,0.041008657589554784,0.036172618865966795,0.00270496248267591,0.0015289723686873914
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,7,0.030607638880610466,0.028146009221673013,0.0015567732392810286,0.0010307213058695197
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,8,0.02329977210611105,0.027971575409173964,0.0009714376181364059,0.0011825225700158625
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,9,0.02426517605781555,0.027078861966729165,0.0010748110245913268,0.0010851972503587604
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,10,0.022116373106837273,0.022418426051735878,0.0008989079622551798,0.0006745044607669115
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,11,0.021460095420479774,0.02096633434295654,0.0007721725443843753,0.000545009016059339
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,12,0.02268269769847393,0.020053241401910782,0.0007971556973643601,0.0005104327690787613
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,13,0.02186465747654438,0.020037086904048918,0.0007500826031900942,0.0005327207851223648
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,14,0.020505517721176147,0.020210679545998575,0.0007073800545185805,0.0005540187982842326
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,15,0.019611598551273347,0.019344422817230224,0.0006609882751945406,0.0005007395311258734
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,16,0.019288088008761407,0.018555479273200035,0.0006286057468969375,0.00046089074108749626
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,17,0.019190689735114574,0.018364911302924156,0.0006110990711022168,0.00045553018571808934
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,18,0.018627578392624855,0.018514713048934938,0.000583966594422236,0.0004669574135914445
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,19,0.018141835182905196,0.018283644393086433,0.0005603456986136735,0.00045965181197971106
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,20,0.017800880409777165,0.017702767923474312,0.0005387842189520598,0.00043212258024141195
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,21,0.01755292359739542,0.017228974550962447,0.0005192118580453098,0.0004124979698099196
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,22,0.01729685813188553,0.01698093593120575,0.0004997649666620418,0.00040495520690456035
rnn-mse-0.0001-s43,rnn,base,43,mse,0.0001,23,0.016991212218999862,0.016701726913452147,0.000480845954734832,0.00039652205538004637
