id,kind,stage,loss,learning_rate,seed,epochs,train_n,train_mae,train_mse,train_seen_n,train_seen_mae,train_unseen_n,train_unseen_mae,validation_n,validation_mae,validation_mse,validation_seen_n,validation_seen_mae,validation_unseen_n,validation_unseen_mae
rnn-mse-0.0001-s42,rnn,base,mse,0.0001,42,30,160,0.019336787243951572,0.0007224548064750404,160,0.019336787243951572,0,,135,0.034954169679853826,0.0018760563464193414,30,0.026000560962596207,105,0.03751234359907029
rnn-mse-0.0001-s43,rnn,base,mse,0.0001,43,30,160,0.015535619740708074,0.0004356360635014928,160,0.015535619740708074,0,,135,0.02293336820697423,0.000876293054265154,30,0.015887188671210133,105,0.024946562360049683
rnn-mse-0.0001-s44,rnn,base,mse,0.0001,44,30,160,0.015201965381783533,0.00040432717279572684,160,0.015201965381783533,0,,135,0.03842123051103861,0.0024999577972539605,30,0.018835643432795385,105,0.04401711253339381
rnn-mse-0.001-s42,rnn,base,mse,0.001,42,30,160,0.01356265677521586,0.0003672809190813157,160,0.01356265677521586,0,,135,0.017472039822431076,0.00054328418508243,30,0.012526429550197577,105,0.018885071328783507
rnn-mse-0.001-s43,rnn,base,mse,0.001,43,30,160,0.012905904267156095,0.0003307356025843204,160,0.012905904267156095,0,,135,0.017209231465293393,0.0005554962768724675,30,0.011985243561447109,105,0.018701799437820906
rnn-mse-0.001-s44,rnn,base,mse,0.001,44,30,160,0.01323693452613028,0.0003386959178378368,160,0.01323693452613028,0,,135,0.02278593375022871,0.0010238827258189109,30,0.013679741980165588,105,0.025387702827389603
rnn-mae-0.0001-s42,rnn,base,mae,0.0001,42,30,160,0.01796288448887646,0.0006119619546170832,160,0.01796288448887646,0,,135,0.03256567186393627,0.001557845414210663,30,0.023720835878248935,105,0.035092767859846934
rnn-mae-0.0001-s43,rnn,base,mae,0.0001,43,30,160,0.015081739762972054,0.00046155789161099285,160,0.015081739762972054,0,,135,0.022401466562580682,0.0009054326646732497,30,0.016071381924727287,105,0.024210062173395934
rnn-mae-0.0001-s44,rnn,base,mae,0.0001,44,30,160,0.016514874920823024,0.0005467881860037983,160,0.016514874920823024,0,,135,0.0323866453640571,0.001865414350978452,30,0.017449631080750698,105,0.03665436373071607
rnn-mae-0.001-s42,rnn,base,mae,0.001,42,30,160,0.018208731620598686,0.0005514810094020378,160,0.018208731620598686,0,,135,0.019534353583737375,0.0006074955743211246,30,0.013288126098298821,105,0.02131899000814839
rnn-mae-0.001-s43,rnn,base,mae,0.001,43,30,160,0.01916364727239075,0.0005762471632079415,160,0.01916364727239075,0,,135,0.02080155989670009,0.0006894114103918426,30,0.016784244171375345,105,0.02194936438965002
rnn-mae-0.001-s44,rnn,base,mae,0.001,44,30,160,0.015975039129576266,0.000512728097505968,160,0.015975039129576266,0,,135,0.023927333472415588,0.001082465927866569,30,0.01623431072368239,105,0.026125339972053647
rnn-huber-0.0001-s42,rnn,base,huber,0.0001,42,30,160,0.01740436683365585,0.0005428852650493684,160,0.01740436683365585,0,,135,0.025045370310080608,0.0009558859322000648,30,0.014923247452282863,105,0.027937405412308536
rnn-huber-0.0001-s43,rnn,base,huber,0.0001,43,30,160,0.015708163358465317,0.00046138665420461815,160,0.015708163358465317,0,,135,0.021697553177704,0.0007864566399339734,30,0.015492198757569835,105,0.023470511583456612
rnn-huber-0.0001-s44,rnn,base,huber,0.0001,44,30,160,0.022661440309954636,0.0008662326356161064,160,0.022661440309954636,0,,135,0.031337937828524,0.0019223510813479003,30,0.015000969842651436,105,0.03600564296734474
rnn-huber-0.001-s42,rnn,base,huber,0.001,42,30,160,0.021352966823473762,0.0006848613559397622,160,0.021352966823473762,0,,135,0.02306688086582082,0.0007480776789751081,30,0.021004991104310932,105,0.023655992226252212
rnn-huber-0.001-s43,rnn,base,huber,0.001,43,30,160,0.01449583434891388,0.00039468229735334354,160,0.01449583434891388,0,,135,0.017085891558615587,0.0005032514436009659,30,0.012388072043769821,105,0.01842812570571438
rnn-huber-0.001-s44,rnn,base,huber,0.001,44,30,160,0.019624108681158933,0.0005996587633861363,160,0.019624108681158933,0,,135,0.022418769189329897,0.000754785801828561,30,0.01847559851641188,105,0.02354538938159219
lstm-mse-0.0001-s42,lstm,base,mse,0.0001,42,30,160,0.013358517595176662,0.000366318240972284,160,0.013358517595176662,0,,135,0.03169308541314115,0.001685638848259915,30,0.02256461215754415,105,0.03430122062902601
lstm-mse-0.0001-s43,lstm,base,mse,0.0001,43,30,160,0.014584660439854217,0.00041704203232860546,160,0.014584660439854217,0,,135,0.02372995132215791,0.001278119711379743,30,0.015305759777225704,105,0.02613686319213854
lstm-mse-0.0001-s44,lstm,base,mse,0.0001,44,30,160,0.02962755414478751,0.0017267490239262048,160,0.02962755414478751,0,,135,0.054771310689159344,0.00508123255870071,30,0.03529498461108504,105,0.06033597528289485
lstm-mse-0.001-s42,lstm,base,mse,0.001,42,30,160,0.013264729506994996,0.0003449529285094955,160,0.013264729506994996,0,,135,0.01943566684182054,0.0007104971177762389,30,0.012717888487519398,105,0.02135503208590658
lstm-mse-0.001-s43,lstm,base,mse,0.001,43,30,160,0.0176851218761246,0.0005669521049455253,160,0.0176851218761246,0,,135,0.02276797085041217,0.0010185482785554179,30,0.019722087879755327,105,0.023638223127742695
lstm-mse-0.001-s44,lstm,base,mse,0.001,44,30,160,0.013915504802754225,0.00036847976306707714,160,0.013915504802754225,0,,135,0.019427477200241256,0.0006030980656590255,30,0.01536390223804347,105,0.02058849861801205
lstm-mae-0.0001-s42,lstm,base,mae,0.0001,42,30,160,0.018639077116598672,0.0006675247118592521,160,0.018639077116598672,0,,135,0.03623510034079088,0.002113196097988306,30,0.02965901041791715,105,0.03811398317589766
lstm-mae-0.0001-s43,lstm,base,mae,0.0001,43,30,160,0.01824205294712568,0.00058655762072865,160,0.01824205294712568,0,,135,0.02436842097929773,0.0012788747539657051,30,0.017749737552922997,105,0.026259473386833366
lstm-mae-0.0001-s44,lstm,base,mae,0.0001,44,30,160,0.025085552425013858,0.001135793982933949,160,0.025085552425013858,0,,135,0.03853186315460407,0.002316829158622357,30,0.031557039179826475,105,0.040524670004540526
lstm-mae-0.001-s42,lstm,base,mae,0.001,42,30,160,0.02107765598634604,0.0007380620875697449,160,0.02107765598634604,0,,135,0.022628724321387506,0.0007607755861292568,30,0.02265745570240242,105,0.022620515355383248
lstm-mae-0.001-s43,lstm,base,mae,0.001,43,30,160,0.019810542105932857,0.0006882093105740255,160,0.019810542105932857,0,,135,0.020597298675306828,0.0007106603409985453,30,0.01919647673743787,105,0.020997533514697957
lstm-mae-0.001-s44,lstm,base,mae,0.001,44,30,160,0.019634373425257666,0.0006488403827434326,160,0.019634373425257666,0,,135,0.021888399411374767,0.0007823356806900987,30,0.019235476056514413,105,0.02264637751276344
lstm-huber-0.0001-s42,lstm,base,huber,0.0001,42,30,160,0.01757287021547901,0.0005992180736047051,160,0.01757287021547901,0,,135,0.03290516770760719,0.001815935759756932,30,0.02671732726637562,105,0.03467312211938764
lstm-huber-0.0001-s43,lstm,base,huber,0.0001,43,30,160,0.01868375933417105,0.000601577335887098,160,0.01868375933417105,0,,135,0.024333507830123908,0.0012904589669606602,30,0.01775379911275907,105,0.026213424606513866
lstm-huber-0.0001-s44,lstm,base,huber,0.0001,44,30,160,0.020082590895357355,0.0008306502915109172,160,0.020082590895357355,0,,135,0.03469432552596844,0.002056149076627968,30,0.024022223590792847,105,0.03774349750744718
lstm-huber-0.001-s42,lstm,base,huber,0.001,42,30,160,0.01920366820063526,0.0006418122497147499,160,0.01920366820063526,0,,135,0.020966880290338063,0.000682745750583567,30,0.019629158029733328,105,0.021349086650510843
lstm-huber-0.001-s43,lstm,base,huber,0.001,43,30,160,0.013974033344990689,0.00041112566423265345,160,0.013974033344990689,0,,135,0.015424161974116335,0.00046780297029727977,30,0.012398176033766724,105,0.016288729385644796
lstm-huber-0.001-s44,lstm,base,huber,0.001,44,30,160,0.022383987498773236,0.0007962862749390398,160,0.022383987498773236,0,,135,0.024108996403778716,0.0009189193747877306,30,0.023562836348790157,105,0.02426504213377545
gru-mse-0.0001-s42,gru,base,mse,0.0001,42,30,160,0.01495831968687301,0.00041500049430818017,160,0.01495831968687301,0,,135,0.049494209020081364,0.004560644522520579,30,0.01617631524147648,105,0.0590136072425399
gru-mse-0.0001-s43,gru,base,mse,0.0001,43,30,160,0.016630765589829042,0.0005450857402211901,160,0.016630765589829042,0,,135,0.04151327053876707,0.0025905930715501785,30,0.025617779550695094,105,0.04605483939250191
gru-mse-0.0001-s44,gru,base,mse,0.0001,44,30,160,0.01449748132746441,0.0003872983480162686,160,0.01449748132746441,0,,135,0.03621755167922022,0.004400106946345182,30,0.017388001516574946,105,0.04159742315426173
gru-mse-0.001-s42,gru,base,mse,0.001,42,30,160,0.012728704019988301,0.0003271813538792017,160,0.012728704019988301,0,,135,0.025825137286868787,0.0012533954587105399,30,0.012116660222050935,105,0.02974184501967389
gru-mse-0.001-s43,gru,base,mse,0.001,43,30,160,0.01248601980103622,0.0003227088751491656,160,0.01248601980103622,0,,135,0.017538804127303534,0.0005766499317900503,30,0.01145211243209515,105,0.01927785889736307
gru-mse-0.001-s44,gru,base,mse,0.001,44,30,160,0.012987681776273194,0.0003421974398368675,160,0.012987681776273194,0,,135,0.019394210923016283,0.0010105282612980332,30,0.013014084648812605,105,0.02121710414421733
gru-mae-0.0001-s42,gru,base,mae,0.0001,42,30,160,0.020598126947612778,0.000704797165080234,160,0.020598126947612778,0,,135,0.05498984119628481,0.005214416891442104,30,0.019466512952691705,105,0.06513936355159713
gru-mae-0.0001-s43,gru,base,mae,0.0001,43,30,160,0.014118659092006127,0.00045465644339065325,160,0.014118659092006127,0,,135,0.027767593085296884,0.0013091516443547073,30,0.020418622314316296,105,0.029867299019862764
gru-mae-0.0001-s44,gru,base,mae,0.0001,44,30,160,0.016070061603497734,0.0005059300393077702,160,0.016070061603497734,0,,135,0.03250685444823879,0.0036734661499350798,30,0.01835091176085235,105,0.03655140950177777
gru-mae-0.001-s42,gru,base,mae,0.001,42,30,160,0.013244875096506658,0.00038370094915559776,160,0.013244875096506658,0,,135,0.01476024768707422,0.00041067969545001046,30,0.011432177910599398,105,0.015711124766067026
gru-mae-0.001-s43,gru,base,mae,0.001,43,30,160,0.01637480506631864,0.00047557653654348294,160,0.01637480506631864,0,,135,0.01933739474175612,0.000612672453685786,30,0.013886794080537505,105,0.020894709216390014
gru-mae-0.001-s44,gru,base,mae,0.001,44,30,160,0.015131494282998061,0.00043110314571556663,160,0.015131494282998061,0,,135,0.016475833697049913,0.0004751246019597722,30,0.013352253076600427,105,0.017368285302892625
gru-huber-0.0001-s42,gru,base,huber,0.0001,42,30,160,0.019144103525027094,0.0006282070544588075,160,0.019144103525027094,0,,135,0.050043606996614295,0.004345655080438463,30,0.022131168758718834,105,0.05801858935029871
gru-huber-0.0001-s43,gru,base,huber,0.0001,43,30,160,0.016867249878574908,0.000549813422723503,160,0.016867249878574908,0,,135,0.03538143637579962,0.001884545426233961,30,0.027876686569645315,105,0.037525650606129425
gru-huber-0.0001-s44,gru,base,huber,0.0001,44,30,160,0.019117990313595425,0.0006207006500243649,160,0.019117990313595425,0,,135,0.03464306638350337,0.0032481556871254845,30,0.021917737265327107,105,0.0382788747029823
gru-huber-0.001-s42,gru,base,huber,0.001,42,30,160,0.014299578980938263,0.00040852192647488066,160,0.014299578980938263,0,,135,0.01677681743588671,0.0004605532598693454,30,0.01292902337359208,105,0.017876187167970892
gru-huber-0.001-s43,gru,base,huber,0.001,43,30,160,0.01313033968214227,0.0003678560473568204,160,0.01313033968214227,0,,135,0.015084858312212093,0.00044327805735918605,30,0.011311902936769046,105,0.016162845562338678
gru-huber-0.001-s44,gru,base,huber,0.001,44,30,160,0.016721312498777105,0.0005500244385528687,160,0.016721312498777105,0,,135,0.020918117444099903,0.0008542351042362287,30,0.015590428124978075,105,0.022440314392420425
dlinear-mse-0.0001-s42,dlinear,base,mse,0.0001,42,30,160,0.016653919242558705,0.0005090645157192683,160,0.016653919242558705,0,,135,0.028848583354493543,0.0015393845892044606,30,0.021726390795829352,105,0.03088349551411188
dlinear-mse-0.0001-s43,dlinear,base,mse,0.0001,43,30,160,0.01669160753696367,0.00047480451448939505,160,0.01669160753696367,0,,135,0.02528472148022244,0.000986637030064299,30,0.013664097658768658,105,0.028604899714923523
dlinear-mse-0.0001-s44,dlinear,base,mse,0.0001,44,30,160,0.017194785731673212,0.0005050411666888469,160,0.017194785731673212,0,,135,0.02554613642715969,0.0011365179901054612,30,0.018757842383911223,105,0.027485649010944968
dlinear-mse-0.001-s42,dlinear,base,mse,0.001,42,30,160,0.013052996520712248,0.0003209954764842551,160,0.013052996520712248,0,,135,0.016618979341018695,0.0004978005100235653,30,0.01260196977647801,105,0.01776669635945889
dlinear-mse-0.001-s43,dlinear,base,mse,0.001,43,30,160,0.012519690646363177,0.00031288346060732357,160,0.012519690646363177,0,,135,0.01698376459286363,0.0005522750966845333,30,0.012430342331666332,105,0.018284742381777148
dlinear-mse-0.001-s44,dlinear,base,mse,0.001,44,30,160,0.01630480833331758,0.00042962065868451846,160,0.01630480833331758,0,,135,0.02151351078527159,0.0007896858661521109,30,0.016329501533748212,105,0.022994656285706842
dlinear-mae-0.0001-s42,dlinear,base,mae,0.0001,42,30,160,0.014719583119205187,0.0004571880974720643,160,0.014719583119205187,0,,135,0.022900072874838782,0.0009534111754426428,30,0.016097341598598807,105,0.02484371038233592
