id,kind,stage,loss,learning_rate,seed,epochs,alpha,train_n,train_mae,train_mse,train_rmse,train_bias,validation_n,validation_mae,validation_mse,validation_rmse,validation_bias
US-natural/rnn-mse-0.0001-s42,rnn,base,mse,0.0001,42,30,,245,0.01943135302121151,0.0007364730093245783,0.027138036209802992,0.00025882066259257986,225,0.04218305861553422,0.002647162775931362,0.05145058576859317,0.036974353059659994
US-natural/rnn-mse-0.0001-s43,rnn,base,mse,0.0001,43,30,,245,0.025390802421296137,0.001214327094365307,0.03484719636305491,0.006796610924561854,225,0.04227355158664692,0.003122758059536807,0.05588164331456983,-0.015545054576929477
US-natural/rnn-mse-0.0001-s44,rnn,base,mse,0.0001,44,30,,245,0.019872320103707188,0.0007631553837521479,0.027625267125444195,0.0039034871944570574,225,0.024810557307712828,0.0010901292802128124,0.03301710587275651,0.014837582274805108
US-natural/rnn-mse-0.001-s42,rnn,base,mse,0.001,42,30,,245,0.01668209035253958,0.0005803272229942411,0.02408998179729991,0.006535897988345383,225,0.026269847136370362,0.0010512593558956707,0.03242312995217567,0.018258772705525752
US-natural/rnn-mse-0.001-s43,rnn,base,mse,0.001,43,30,,245,0.02216073105523219,0.0008204330013342966,0.028643201659980272,-0.012948250018920991,225,0.02765284462735008,0.001341067484535333,0.03662058826036705,-0.01418818126334356
US-natural/rnn-mse-0.001-s44,rnn,base,mse,0.001,44,30,,245,0.01541964117150942,0.0005554925682432824,0.02356888983900774,-0.0011918792701286166,225,0.020503372891509667,0.0010583234416301137,0.032531883462691084,-0.0038609372928434618
US-natural/rnn-mae-0.0001-s42,rnn,base,mae,0.0001,42,30,,245,0.023251821482034907,0.0008889349109279657,0.029815011503066133,-0.015876469267974872,225,0.028648941218773084,0.001282005316449066,0.03580510182151513,0.016208888066673213
US-natural/rnn-mae-0.0001-s43,rnn,base,mae,0.0001,43,30,,245,0.020378318422017393,0.0008686315118690349,0.029472555231418854,0.008878583406814947,225,0.03476029130817288,0.0020853479754487972,0.0456656104245722,-0.0069797410919958365
US-natural/rnn-mae-0.0001-s44,rnn,base,mae,0.0001,44,30,,245,0.017587237382010904,0.0006360028777136926,0.025219097480157625,0.0047893033865974415,225,0.023365605903980485,0.0009971283690474223,0.03157733948652771,0.010555299650825328
US-natural/rnn-mae-0.001-s42,rnn,base,mae,0.001,42,30,,245,0.03433045976862109,0.0016111507816030373,0.04013914276118808,0.03173500186073216,225,0.03529388571908283,0.0017128149673678802,0.04138616879306274,0.03380387622236934
US-natural/rnn-mae-0.001-s43,rnn,base,mae,0.001,43,30,,245,0.018895496886670308,0.0007153934076350878,0.02674683920830811,-0.005494435413860104,225,0.02245410010639715,0.0010043407008757113,0.03169133479163841,-0.008678382604124879
US-natural/rnn-mae-0.001-s44,rnn,base,mae,0.001,44,30,,245,0.017458286398103165,0.0006837823058767366,0.02614923145862487,0.009362111977067971,225,0.020458556362466428,0.0008717910412546024,0.029526107790472527,0.012899861962792542
US-natural/rnn-huber-0.0001-s42,rnn,base,huber,0.0001,42,30,,245,0.023360646195383156,0.0008830412945916257,0.029716010744910322,-0.015758939460932767,225,0.0298476944658561,0.0013788517009191562,0.03713289243944183,0.020290666899281006
US-natural/rnn-huber-0.0001-s43,rnn,base,huber,0.0001,43,30,,245,0.01897182850994092,0.0007770155717530555,0.02787499904489784,0.003017101565085337,225,0.03601023769917649,0.0021801044375739874,0.0466915885098589,-0.013298242392277785
US-natural/rnn-huber-0.0001-s44,rnn,base,huber,0.0001,44,30,,245,0.01716450605723081,0.0006337704251753681,0.025174797420741406,0.007615155854903147,225,0.02428391771573057,0.0010728675877059832,0.03275465749639253,0.013060579165349999
US-natural/rnn-huber-0.001-s42,rnn,base,huber,0.001,42,30,,245,0.015841016271425677,0.0005776405756600547,0.02403415435708223,-0.0018586976197698128,225,0.016788925759288812,0.0005847146547836381,0.02418087373904504,0.0017256403444845796
US-natural/rnn-huber-0.001-s43,rnn,base,huber,0.001,43,30,,245,0.015951915413863087,0.0005761334014033876,0.024002779035007332,-0.004584727429714297,225,0.019317753832261666,0.0006999785641889914,0.026457108008793997,-0.00774523433923993
US-natural/rnn-huber-0.001-s44,rnn,base,huber,0.001,44,30,,245,0.015847767765878713,0.0006035158628190585,0.0245665598490928,-0.0013338489278027442,225,0.018602479701433132,0.0008938107898507443,0.02989666854100544,0.0016502933348522565
US-natural/lstm-mse-0.0001-s42,lstm,base,mse,0.0001,42,30,,245,0.01866395873150133,0.0007129013105208208,0.026700211806665895,0.0035570854501059627,225,0.029190061056334083,0.0016080213103764759,0.040100141026890114,0.01885819060722715
US-natural/lstm-mse-0.0001-s43,lstm,base,mse,0.0001,43,30,,245,0.018335369990982345,0.0006139444068263678,0.024777901582385214,-0.0069671904944432475,225,0.030269760358140548,0.00138990017922372,0.03728136503970476,-0.021207392151623372
US-natural/lstm-mse-0.0001-s44,lstm,base,mse,0.0001,44,30,,245,0.01680987382064805,0.0005680451760066345,0.023833698328346663,0.004976223370149868,225,0.02353000573435281,0.0009787388846222887,0.03128480277422711,0.00838605075862401
US-natural/lstm-mse-0.001-s42,lstm,base,mse,0.001,42,30,,245,0.01638146504191092,0.0005568420038388327,0.023597499948910534,0.005823288606037124,225,0.023243106187766996,0.0009096608536735556,0.03016058443852764,0.011851809072359335
US-natural/lstm-mse-0.001-s43,lstm,base,mse,0.001,43,30,,245,0.030457576100945696,0.0014135650468195167,0.037597407448114246,-0.016409191771529934,225,0.030980625160809745,0.0014946741956362573,0.03866101648477775,-0.01973159728990933
US-natural/lstm-mse-0.001-s44,lstm,base,mse,0.001,44,30,,245,0.015614731072979351,0.000540164692165315,0.023241443418284394,0.0047862600525025965,225,0.01973709360935301,0.0007042312710155666,0.026537356142154904,0.004369621870779924
US-natural/lstm-mae-0.0001-s42,lstm,base,mae,0.0001,42,30,,245,0.020675425991304234,0.0008086044703564141,0.028435971415733525,0.013771844220912412,225,0.03066205601432124,0.0015460995040563086,0.0393204718188415,0.02425863941298319
US-natural/lstm-mae-0.0001-s43,lstm,base,mae,0.0001,43,30,,245,0.015337432377335217,0.0005639331114291764,0.023747275873859226,0.0017869637242596526,225,0.02589590010819575,0.001033108555186541,0.03214200608528567,-0.011997029088076023
